case,covariance_min_eigenvalue,dt_cov,dt_pde,final_adjoint_frobenius_norm,k,logarithmic_negativity,mode_x,mode_y,nsteps,nu_physical_min,nu_pt,selection_symplectic_error,mode_class,k_over_kdom,angle_degrees,observed_refinement_ratio_nu_pt,richardson_nu_pt,absolute_nu_pt_error_to_richardson,observed_refinement_ratio_logarithmic_negativity,richardson_logarithmic_negativity,absolute_logarithmic_negativity_error_to_richardson
spot,0.2537891136598195,0.0125,0.05,188.76946451417572,0.5890486225480862,0.9757501557220708,12,0,4000,98.62021420181117,0.2542376931038521,8.881784197001252e-16,dominant_shell,1.0,0.0,3.9907053811443,0.2540429647431917,0.0001947283606603,3.9680055751873615,0.9768538920209764,0.0011037362989055
spot,0.2658176693741108,0.1,0.05,188.77293600892915,0.5931251322442569,0.9085461400911508,11,5,500,103.82971799081358,0.2663608325805908,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,3.990521252723364,0.2537663154575195,0.0125945171230713,3.9673484247281503,0.9784257510351292,0.0698796109439784
spot,0.2564133844504528,0.05,0.05,188.77028425443413,0.5931251322442569,0.9605042872450682,11,5,1000,101.97504410744004,0.2569386292799051,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,3.990521252723364,0.2537663154575195,0.0031723138223856,3.9673484247281503,0.9784257510351292,0.0179214637900609
spot,0.2540400885316617,0.025,0.05,188.76962879803835,0.5931251322442569,0.9739177865611116,11,5,2000,101.5016735037409,0.2545608059333222,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,3.990521252723364,0.2537663154575195,0.0007944904758027,3.9673484247281503,0.9784257510351292,0.0045079644740176
spot,0.2534453555468186,0.0125,0.05,188.76946451417572,0.5931251322442569,0.9772987599166248,11,5,4000,101.38270513901514,0.2539649380764702,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,3.990521252723364,0.2537663154575195,0.0001986226189507,3.9673484247281503,0.9784257510351292,0.0011269911185044
spot,0.2654928219438879,0.1,0.05,188.77293600892915,0.5553603672697958,0.9105039115165856,8,8,500,87.01777960944369,0.2659996197490076,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,3.991501374219515,0.2546921979987284,0.0113074217502792,3.9707633506592255,0.973171920268531,0.0626680087519454
spot,0.2570462152300641,0.05,0.05,188.77028425443413,0.5553603672697958,0.9571420708763788,8,8,1000,85.62116634306525,0.2575381258247003,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,3.991501374219515,0.2546921979987284,0.0028459278259719,3.9707633506592255,0.973171920268531,0.0160298493921523
spot,0.25491667133432,0.025,0.05,188.76962879803835,0.5553603672697958,0.9691423684341212,8,8,2000,85.26546958657423,0.2554048155057558,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,3.991501374219515,0.2546921979987284,0.0007126175070273,3.9707633506592255,0.973171920268531,0.0040295518344098
spot,0.2543831526306456,0.0125,0.05,188.76946451417572,0.5553603672697958,0.9721645323099286,8,8,4000,85.17612451851593,0.2548703523754852,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,3.991501374219515,0.2546921979987284,0.0001781543767568,3.9707633506592255,0.973171920268531,0.0010073879586024
spot,0.265785788789615,0.1,0.05,188.77293600892915,0.5931251322442569,0.9094772823294152,5,11,500,103.33905576881672,0.2661889738067547,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,3.990521719201036,0.2535922319131886,0.0125967418935661,3.967329068242887,0.9794157755693318,0.0699384932399165
spot,0.2563701666989248,0.05,0.05,188.77028425443413,0.5931251322442569,0.9614789428618478,5,11,1000,101.49195358947344,0.2567651053552054,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,3.990521719201036,0.2535922319131886,0.0031728734420167,3.967329068242887,0.9794157755693318,0.017936832707484
spot,0.2539940158345843,0.025,0.05,188.76962879803835,0.5931251322442569,0.9749039287223792,5,11,2000,101.02051351452543,0.2543868624733642,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,3.990521719201036,0.2535922319131886,0.0007946305601755,3.967329068242887,0.9794157755693318,0.0045118468469526
spot,0.2533985678808058,0.0125,0.05,188.76946451417572,0.5931251322442569,0.9782878138575936,5,11,4000,100.9020302055932,0.2537908895532325,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,3.990521719201036,0.2535922319131886,0.0001986576400438,3.967329068242887,0.9794157755693318,0.0011279617117381
