L,mode_index,k,k_over_pi,nu_physical,nu_pt,logarithmic_negativity,symplectic_transform_error,spectral_abscissa,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin
96,13,0.8508480103472357,0.27083333333333337,1.5548954771696186,0.25892037699891346,0.9494195852752593,2.4676496458822297e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,14,0.916297857297023,0.29166666666666663,1.4031165544576771,0.2601310858974304,0.9426892819567032,2.498001805406602e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,15,0.9817477042468102,0.31249999999999994,1.2962611185371793,0.2614160982693155,0.9355801083898716,4.994658011926834e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,16,1.0471975511965976,0.3333333333333333,1.1776979602944262,0.26270020682233425,0.9285107585900143,2.405061256327585e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,17,1.1126473981463851,0.3541666666666667,1.1559135407349153,0.26400065381032156,0.9213865923955252,3.0635215033202233e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,18,1.1780972450961724,0.375,1.1081283809780422,0.26524082046824426,0.914625272094551,3.608224830031759e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,19,1.2435470920459597,0.3958333333333333,1.070485645408132,0.26642817884198283,0.9081814174119395,4.298292154195365e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,20,1.3089969389957472,0.4166666666666667,1.0414715010368782,0.2675630034380731,0.9020494499333173,2.220446049250313e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,21,1.3744467859455345,0.4375,1.0215396779264407,0.26866272268744046,0.8961319355191787,4.440892098500626e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,22,1.4398966328953218,0.4583333333333333,1.017131077913107,0.26979888155477516,0.8900437272487871,2.0828211498669802e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
