state,lambda,L,mode_index,k,k_over_pi,ell,kappa_k,g_k,R_k,eta_k,nu_physical,nu_pt,logarithmic_negativity
homogeneous_differential,-0.2,96,41,2.6834437249412812,0.8541666666666665,3.7937454830653765,30.316901787569837,12.364705410719543,30.557665821487515,0.8092702815033038,0.8511558641232818,0.27635450883798035,0.8554079439776648
homogeneous_differential,-0.2,96,42,2.748893571891069,0.875,3.8477590650225735,30.720064651895928,12.51227326092539,30.957693368163216,0.8083466111072066,0.8493191462352866,0.27649566566990286,0.8546712298543175
homogeneous_differential,-0.2,96,43,2.8143434188408563,0.8958333333333333,3.893860258990211,31.06416864824955,12.638224065134564,31.29918497768658,0.8075752818576233,0.8477960286763164,0.27661365201130433,0.8540557337606051
homogeneous_differential,-0.2,96,44,2.8797932657906435,0.9166666666666666,3.9318516525781364,31.347740270490515,12.742018482667122,31.58064639184391,0.8069510879902638,0.8465704920951528,0.2767092055358911,0.8535574546978449
homogeneous_differential,-0.2,96,45,2.9452431127404313,0.9375000000000001,3.961570560806461,31.569565221397685,12.823212049892382,31.80084676118913,0.8064698494470455,0.8456298959313335,0.2767829200985825,0.8531731759349157
homogeneous_differential,-0.2,96,46,3.010692959690218,0.9583333333333333,3.982889722747621,31.728693612476082,12.88145708349042,31.95882358308784,0.806128363893038,0.8449646889393444,0.2768352515777283,0.85290043067642
homogeneous_differential,-0.2,96,47,3.076142806640006,0.9791666666666667,3.995717846477207,31.82444403152527,12.916504169285428,32.05388657208725,0.8059243699035992,0.8445681950269663,0.27686652239301146,0.8527374756262385
homogeneous_scalar_transport_same_lambda,-0.2,96,1,0.06544984694978735,0.020833333333333332,0.004282153522793042,2.0319624290257474,2.0,4.334198631064713,0.9228926360990023,1.2985077864712615,0.2600249179872864,0.9432782126561449
homogeneous_scalar_transport_same_lambda,-0.2,96,2,0.1308996938995747,0.041666666666666664,0.017110277252379236,2.1277128480749385,2.0,4.37990507025143,0.9132618026742708,1.2273759460341724,0.26133381187097476,0.9360342994953944
homogeneous_scalar_transport_same_lambda,-0.2,96,3,0.19634954084936207,0.0625,0.03842943919353914,2.2868412391533335,2.0,4.459377682327813,0.8969861458139567,1.1310716228604227,0.26357598926241,0.9237091424085946
homogeneous_scalar_transport_same_lambda,-0.2,96,4,0.2617993877991494,0.08333333333333333,0.06814834742186338,2.508666190060499,2.0,4.577096515664016,0.873916463485303,1.0286454277954724,0.26682085874310985,0.9060566411498745
homogeneous_scalar_transport_same_lambda,-0.2,96,5,0.3272492347489368,0.10416666666666667,0.10613974100978862,2.792237812301466,2.0,4.738459502939441,0.8441562067837981,0.9326665408858507,0.27112670725003185,0.8829608624959457
homogeneous_scalar_transport_same_lambda,-0.2,96,6,0.39269908169872414,0.125,0.15224093497742652,3.136341808655091,2.0,4.949044998913316,0.8082367408011643,0.8491015986395832,0.27651246582815703,0.8545835728972987
homogeneous_scalar_transport_same_lambda,-0.2,96,7,0.4581489286485115,0.14583333333333331,0.20625451693462327,3.5395046729811788,2.0,5.213875697655883,0.7671836138706506,0.7795112629149815,0.28293607753913774,0.8214519465439688
homogeneous_scalar_transport_same_lambda,-0.2,96,8,0.5235987755982988,0.16666666666666666,0.2679491924311226,3.999999999999999,2.0,5.53682277669703,0.7224359820283401,0.7231308285819599,0.29028655068573295,0.7844503631173357
homogeneous_scalar_transport_same_lambda,-0.2,96,9,0.5890486225480862,0.1875,0.33706077539490953,4.515855878024729,2.0,5.920250059891179,0.6756471364443556,0.6782188431829205,0.29839217883365143,0.7447183733216265
homogeneous_scalar_transport_same_lambda,-0.2,96,10,0.6544984694978736,0.20833333333333334,0.41329331941752967,5.084863332990027,2.0,6.364922747036092,0.6284443910749195,0.6427937230150887,0.30704149477892523,0.7034944547106429
homogeneous_scalar_transport_same_lambda,-0.2,96,11,0.7199483164476609,0.22916666666666666,0.49632038504204523,5.704585787618122,2.0,6.870131401133873,0.5822304940688361,0.614988168856884,0.3160095838591815,0.6619597821291393
homogeneous_scalar_transport_same_lambda,-0.2,96,12,0.7853981633974483,0.25,0.5857864376269049,6.3723694952167715,2.0,7.433942389077297,0.5380725045538699,0.5931911912595056,0.3250822042001388,0.6211235133743879
homogeneous_scalar_transport_same_lambda,-0.2,96,13,0.8508480103472357,0.27083333333333337,0.6813083697998623,7.085354903430023,2.0,8.053487478608934,0.4966792350052692,0.5760805515164767,0.33407291843548537,0.5817650593033784
homogeneous_scalar_transport_same_lambda,-0.2,96,14,0.916297857297023,0.29166666666666663,0.7824771419825587,7.84048889928039,2.0,8.725231953380383,0.4584405344605532,0.5626036763766114,0.34283194150589047,0.5444265638927057
homogeneous_scalar_transport_same_lambda,-0.2,96,15,0.9817477042468102,0.31249999999999994,0.8888595339607952,8.634537883067363,2.0,9.44519194694721,0.42349589319810954,0.551938504327193,0.3512479399407824,0.5094383308945319
homogeneous_scalar_transport_same_lambda,-0.2,96,16,1.0471975511965976,0.3333333333333333,0.9999999999999998,9.464101615137753,2.0,10.209095250912494,0.3918074914270663,0.5434503668438875,0.35924508459667326,0.47695967787494625
homogeneous_scalar_transport_same_lambda,-0.2,96,17,1.1126473981463851,0.3541666666666667,1.1154226195619974,10.32562777623389,2.0,11.012492698471307,0.3632238503599878,0.5366523335725659,0.3667776204678084,0.4470224816498891
homogeneous_scalar_transport_same_lambda,-0.2,96,18,1.1780972450961724,0.375,1.2346331352698203,11.215427179070055,2.0,11.850831754335823,0.3375290513711439,0.5311717551274431,0.3738236560076463,0.41957022744941547
